d3_fc	d7_fc	d14_fc
PGE1	0.705163103918642	-3.49701454994894	0.693842471892257
PGE2	1.03408601733818	0.962314162326644	0.982977388347775
15-keto PGE2	0.162413158727085	0.809288608537222	0.824539962931908
13,14dh-15k-PGE2	0.956536786112045	0.912653239234632	0.67094705285819
PGA2	1.47449858242539	0.76794780162328	1.31713135273274
PGE3	0.61065444240526	-13.4324867502488	1.46751306533247
PGD2	0.967243677052323	0.945974972542155	1.01477086109689
PGJ2	1.94171627856868	0.745472574530939	1.43550503833071
D12-PGJ2	1.68704688122055	0.221405567060015	0.248266537269372
13,14dh-15k-PGD2	1.07633081391113	0.682563360131737	1.22322379524656
PGF1a	1.00761641282582	1.24205160832843	1.07041969541702
PGF2a	0.946303218411711	0.967464312971118	0.97381172099167
15-keto PGF2a	1.03148437890002	0.814440654351857	0.810839017269322
8-isoPGF2a & 11bPGF2a	0.94705324417274	0.600916783023991	1.20655799447428
6kPGF1a	1.07513703026382	0.938772067521084	1.01261708217734
TXB2	1.00384177967269	0.826094478476069	0.964658972606575
2,3-dinor TXB2	0.854483614228949	0.956195229805773	1.4732210183142
LTB4	0.0726950789176012	9.04508574949254	1.19453303171584
5(S),12(S)-DiHETE	1.08383075984155	1.21428667318967	1.08240459187952
5(S),15(S)-DiHETE	0.961257192644757	0.949407945727287	0.849818734965697
9-HODE	0.972470819338555	0.991182307089392	0.994883377225497
13-HODE	0.978891444188634	0.968297074423922	0.978555185536627
9(S)-HOTrE	0.948846662170209	1.03161571558452	0.936644070877906
13(S)-HOTrE	0.933105717199337	0.852253152529011	0.916607860136622
11(R)-HEDE	1.06274497573988	1.2049651899719	1.03749135665238
15(S)-HEDE	0.924052856930677	0.857408471205519	0.904421608487011
8(S)-HETrE	0.937951465564695	1.74417877455527	1.13542555315829
5(S)-HETrE	1.04627895449185	1.01731075917479	0.490210599001384
5-HETE	1.0212195227296	1.07699671254019	1.09521586813242
8-HETE	0.965423458132299	0.972610866819769	1.00656284132698
11-HETE	1.02944025006863	1.01661135057203	1.03290280644435
12-HETE	0.998724292080773	1.02614379449776	1.00761615119996
15-HETE	0.975972726035596	0.97656148209788	1.00818059370069
tetranor 12-HETE	0.918578493285172	0.568480558609175	0.336736624236097
12(S)-HHTrE	1.04919248885877	1.0253232779671	1.01936105082419
5-HEPE	1.00667496090787	1.00168305168283	0.915751382192751
8-HEPE	1.20658676169692	1.13891750118621	0.754792529995923
9-HEPE	1.0673375969354	1.29818691971923	0.972139202701411
11-HEPE	0.990774453981038	0.992907220794415	0.882524954166202
12-HEPE	1.01403173968837	1.08810134881219	0.97737693951417
15(S)-HEPE	0.952330605515342	0.891147394135037	0.87117257440489
18-HEPE	0.93160446317914	0.997940904788015	0.829595153508922
4-HDoHE	0.955960491704988	1.15499485344456	1.04291673282562
7-HDoHE	1.03494757336976	2.4937383345081	1.27619578291682
8-HDoHE	0.950890857892493	1.21628834368723	1.06234795672634
10-HDoHE	0.970132437346965	1.00685928547616	1.00184506564964
11-HDoHE	0.95468803435425	0.838854062014197	1.05865495141917
13-HDoHE	1.03335944844521	0.999372983789144	1.04958499139409
14-HDoHE	0.973597882506653	0.956286853584623	0.978468332919626
16-HDoHE	0.999139882344036	1.10192406349286	1.05360154364481
17-HDoHE	0.99909204557936	0.931623184379021	0.937502728565072
20-HDoHE	0.982746532783423	1.09285557992645	1.07150165541806
9(10)-EpOME	1.00478476809086	1.07345990117022	0.959158749850914
12(13)-EpOME	1.02357537113848	1.08101439341435	0.888068397483201
5(6)-EpETrE	1.35774547603948	-0.199156766285744	20.9164616322813
11(12)-EpETrE	1.26144514353733	2.33892670283206	1.34288411277959
14(15)-EpETrE	1.13362789894009	0.442262806880151	1.3167395774339
17(18)-EpETE	1.01017609271726	0.962763980206066	1.31080177127677
7(8)-EpDPE	1.0039359915428	1.03820758648295	1.04763108021609
10(11)-EpDPE	0.607206822883216	1.2533499549218	1.28865882622184
13(14)-EpDPE	0.865348806508389	0.854378054989238	0.777776533156493
16(17)-EpDPE	1.0850006084963	0.933268250777062	1.01735238181101
19(20)-EpDPE	1.04819339889673	1.56111928552699	1.65693718564908
9,10-DiHOME	1.09828018843966	0.905316224875653	0.956854158186804
12,13-DiHOME	1.04508781804964	1.01898725137871	1.0289971440025
8,9-DiHETrE	1.12054989619177	1.00528361527414	1.10011278441388
11,12-DiHETrE	0.590705855363228	0.679316755643808	-0.0536598049934576
14,15-DiHETrE	2.1582032789802	1.90172793057257	1.69778382988638
19,20-DiHDoPE	1.15724273074461	1.16389580441203	1.25560782330121
9-OxoODE	0.942366000159582	0.944912152049158	0.915007888505574
13-OxoODE	0.959989299056624	0.99066292050341	0.999519101326433
9-OxoOTrE	0.86346759100188	1.16023957141808	0.917663475410953
15-OxoEDE	2.64403897061759	1.12440847829127	0.438740100072376
5-oxoETE	1.08808248777457	1.31592235794463	1.12812686764716
15-OxoETE	0.409687596144736	0.836351559922906	1.77807334871593
LXA4	1.02964906300829	1.00028546290088	1.11103233720614
AT-RvD3	2.44975671325332	1.19458874380816	0.940069791561847
RvD6 (4,17-DiHDoHE)	0.772877615803066	1.04635674811669	0.704565786337142
PD1	0.788834644253687	0.539121655743336	0.906861141363158
10S,17S-DiHDoHE	0.883252245887802	0.689839136507357	0.942085489837413
