d0_left	d0_right	d3_1mm	d3_2mm	d7_1mm	d7_2mm	d14_1mm	d14_2mm
9-OxoODE	7.2034336053508	7.52632130806897	7.02432764611981	6.6194875476843	6.79796748397225	6.42348208484042	7.5700909351082	6.92669292232854
13-OxoODE	7.61478415445521	7.91638498821488	7.22822563663409	6.93901926233548	7.14301106005714	7.07631619794437	7.99689377176451	7.99304807615701
9-OxoOTrE	2.74378131556614	3.13378818823022	2.23173810137949	1.92703352214525	1.70266333648648	1.97549737979435	2.95685323153567	2.71339621273113
15-OxoEDE	-0.166089473402394	-0.418946809777792	-0.203562832931816	-0.538228063241041	-0.521985796259651	-0.586925254861972	-0.31383886060166	-0.137693693106973
5-oxoETE	2.38596597116689	2.84390420293249	2.72550919921706	2.96557882993656	2.336494847127	3.07464580855685	3.16450204566728	3.56995978044165
15-OxoETE	1.60498803330976	2.96585121888557	1.89223554808129	0.775225433033041	1.13278518663628	0.947406657900813	0.547947539250914	0.974290916036524
LXA4	-2.55004396584356	-2.09414560495025	-2.39608980400087	-2.4671316215732	-2.31930489647762	-2.31996697198139	-2.10682677519319	-2.34075267613138
AT-RvD3	0.043124488846626	-0.568524555528817	-0.537672028328556	-1.31716566092641	-0.990611702441911	-1.18337358922175	-1.08362861311382	-1.01868652446036
RvD6 (4,17-DiHDoHE)	-1.57494325606448	-2.2244229010344	-1.95151360139845	-1.50828117945609	-1.62456310618759	-1.6998725689008	-1.9516169218587	-1.37504251117825
PD1	2.81262274251428	1.40856372089137	2.25553404456915	1.77924339564978	2.38242834061955	1.28441871168466	0.875847614100041	0.794272166982962
10S,17S-DiHDoHE	3.479596665405	2.71581470708827	3.06140872537953	2.70399613227199	3.4132885969229	2.3546200583517	1.83343628887676	1.72725372429215
