d3_fc	d7_fc	d14_fc
PGE1	0.57968489944517	-1.15469738727942	0.575012487834248
PGE2	1.10863462500467	-0.833954490253383	-0.274680134751283
15-keto PGE2	-1.15446548633077	0.557056503344796	0.597408982985972
13,14dh-15k-PGE2	0.714117018378836	0.428770774463394	-1.14288779284223
PGA2	0.776331212777331	-1.12842393025322	0.352092717475888
PGE3	0.525382834497828	-1.15318546995857	0.627802635460744
PGD2	-0.248495688915107	-0.852321364274196	1.1008170531893
PGJ2	0.945066187316311	-1.04710896000964	0.10204277269333
D12-PGJ2	1.15455242267204	-0.593292686497564	-0.561259736174472
13,14dh-15k-PGD2	0.294354063149025	-1.11413968035198	0.819785617202959
PGF1a	-0.81644615514502	1.11537352607105	-0.298927370926028
PGF2a	-1.12632174071331	0.34282135438777	0.783500386325546
15-keto PGF2a	1.15458327485816	-0.563040459816078	-0.59154281504208
8-isoPGF2a & 11bPGF2a	0.0950373322569971	-1.0441258751673	0.949088542910301
6kPGF1a	0.971200978271604	-1.02650389534916	0.0553029170775496
TXB2	0.77428500873806	-1.12900640289262	0.354721394154564
2,3-dinor TXB2	-0.723806094185736	-0.417249411360991	1.14105550554673
LTB4	-0.688276252915364	1.14707451855521	-0.458798265639842
5(S),12(S)-DiHETE	-0.567909014281643	1.1546493524358	-0.586740338154151
5(S),15(S)-DiHETE	0.671437343713225	0.477840742138762	-1.14927808585199
9-HODE	-1.1409222337339	0.41644052594244	0.724481707791454
13-HODE	0.605044665259396	-1.15425040823884	0.549205742979447
9(S)-HOTrE	-0.455231032188685	1.14662233353332	-0.691391301344634
13(S)-HOTrE	0.759571032615115	-1.13297133986573	0.373400307250616
11(R)-HEDE	-0.431826518857728	1.14335295731138	-0.711526438453653
15(S)-HEDE	0.83974189220177	-1.10625652714192	0.266514634940151
8(S)-HETrE	-0.796145112170444	1.12237547633015	-0.326230364159709
5(S)-HETrE	0.62300409798038	0.530459601220044	-1.15346369920042
5-HETE	-1.12200502159739	0.324721854305845	0.797283167291536
8-HETE	-0.733127925203425	-0.406024274407621	1.13915219961105
11-HETE	0.363766240251185	-1.13096456649369	0.767198326242478
12-HETE	-0.865230487561355	1.09483284589176	-0.229602358330413
15-HETE	-0.593251428205765	-0.561301763717276	1.15455319192305
tetranor 12-HETE	1.06051582123447	-0.134682829648365	-0.925832991586108
12(S)-HHTrE	1.13392402905363	-0.378117575235927	-0.755806453817701
5-HEPE	0.625492013971358	0.527831059881803	-1.15332307385316
8-HEPE	0.710611911250379	0.43290279444792	-1.1435147056983
9-HEPE	-0.269692875564048	1.10718861759965	-0.837495742035604
11-HEPE	0.560374020045903	0.594161729464442	-1.15453574951035
12-HEPE	-0.221104450363863	1.09204833649464	-0.87094388613078
15(S)-HEPE	1.12203241402114	-0.324833128839368	-0.797199285181771
18-HEPE	0.140222766575454	0.922487821729305	-1.06271058830476
4-HDoHE	-0.955393664354824	1.03931699704242	-0.0839233326875952
7-HDoHE	-0.724700013405122	1.14087901574973	-0.416179002344605
8-HDoHE	-0.942624898372065	1.04888818078042	-0.106263282408356
10-HDoHE	-1.14551410027969	0.698646225787754	0.446867874491935
11-HDoHE	0.0359758757029708	-1.0175024711503	0.981526595447332
13-HDoHE	0.231043710946767	-1.09529943366343	0.864255722716669
14-HDoHE	0.355718665615856	-1.1292258096187	0.773507144002858
16-HDoHE	-1.019303609506	0.979508286815374	0.0397953226906231
17-HDoHE	1.15112242104488	-0.654224282073381	-0.4968981389715
20-HDoHE	-1.13523301421308	0.750467546426828	0.384765467786255
9(10)-EpOME	-0.133533065052086	1.06005737130558	-0.926524306253488
12(13)-EpOME	0.262668550723475	0.842449029252601	-1.10511757997608
5(6)-EpETrE	-0.509932641025918	-0.642238520207514	1.15217116123343
11(12)-EpETrE	-0.643889505225981	1.15203795749717	-0.508148452271184
14(15)-EpETrE	0.367342364218307	-1.13171901349103	0.764376649272723
17(18)-EpETE	-0.447181886289869	-0.698375038022851	1.14555692431272
7(8)-EpDPE	-1.1302002894327	0.360196559279953	0.770003730152736
10(11)-EpDPE	-1.15347731305211	0.530721635701592	0.622755677350521
13(14)-EpDPE	0.688496525311907	0.458546481332244	-1.14704300664415
16(17)-EpDPE	0.962013297180026	-1.03408694297466	0.0720736457946363
19(20)-EpDPE	-1.14226502071854	0.424766644010084	0.717498376708459
9,10-DiHOME	1.11563251310787	-0.815736926087161	-0.299895587020707
12,13-DiHOME	1.06803993217371	-0.914109465365354	-0.153930466808373
8,9-DiHETrE	0.735470121276991	-1.13865190150501	0.403181780228015
11,12-DiHETrE	0.463053332581047	0.684544405400527	-1.14759773798157
14,15-DiHETrE	1.0357866470662	-0.0758983955989457	-0.959888251467255
19,20-DiHDoPE	-0.636806272429747	-0.515778096219421	1.15258436864917
9-OxoODE	0.498857968440475	0.65243328103571	-1.15129124947618
13-OxoODE	-1.12808613028849	0.350580511079003	0.777505619209489
9-OxoOTrE	-0.740265663303233	1.1375994829145	-0.397333819611269
15-OxoEDE	1.10013826525739	-0.246306317282015	-0.853831947975377
5-oxoETE	-0.734073946411251	1.13895120477553	-0.40487725836428
15-OxoETE	-0.854587704998231	-0.245208854446657	1.09979655944489
LXA4	-0.302228096382911	-0.814025130019423	1.11625322640233
AT-RvD3	1.14029695549219	-0.412693277859153	-0.727603677633034
RvD6 (4,17-DiHDoHE)	-0.378117050358362	1.13392392414944	-0.755806873791074
PD1	0.233787205961663	-1.09618296611436	0.8623957601527
10S,17S-DiHDoHE	0.339922605151692	-1.12564925733941	0.785726652187719
